epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,learning_rate,epoch_seconds
1,0.5889021158218384,0.4685932993888855,0.8301486616513784,0.7096189357044527,0.7786358726708855,0.8889602628634431,0.9968349717112681,0.0001,2231.6397246569995
2,0.3365198075771332,0.3500608503818512,0.8721571897930204,0.7732967589986798,0.8656366795717968,0.8787766786042459,0.9982917713057748,0.0001,2153.281235837
3,0.2570904791355133,0.3190418481826782,0.8790043347839473,0.7841282192777563,0.9135460413429156,0.8469795460833656,0.9989961940185824,0.0001,2143.5960381000004
4,0.13123303651809692,0.08410297334194183,0.8794619336796364,0.7848568113063968,0.9232391558697364,0.8396483365659316,0.9991257304123783,0.0001,2143.951091208999
5,0.09696482121944427,0.07179597020149231,0.8917773753937953,0.8046915444545081,0.9062542044062677,0.8777557902487491,0.9988629020400468,0.0001,2216.53043857
